run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
1632.8959515021872,1573.211728339159,1585.0507373988535,1593.6367580090227,1095.6513066786363,1532.9302447011792,1151.4534923783792,1392.2472936437398,1136.6467149153973,1109.8545345417522
1565.5005909842384,1573.211728339159,1510.224885713881,1593.6367580090227,1095.6513066786363,1478.3337013610162,1151.4534923783792,1371.099485113544,1136.6467149153973,1109.8545345417522
1445.0665656443718,1573.211728339159,1510.224885713881,1593.6367580090227,1095.6513066786363,1426.8254693861102,1123.5988966307577,1299.6564708815856,1098.519988613004,1109.8545345417522
1353.3113287303038,1573.211728339159,1415.7737380102467,1573.6603920356094,1095.6513066786363,1321.7567898138436,1123.5988966307577,1132.8090908599977,1098.519988613004,1109.8545345417522
1269.1143015736538,1573.211728339159,1413.1706960667157,1573.6603920356094,1095.6513066786363,1309.5512201702295,1123.5988966307577,1132.8090908599977,1091.994371815108,1109.8545345417522
1214.5784113209963,1573.211728339159,1411.3989874356826,1387.3109689040539,1095.6513066786363,1309.5512201702295,1123.5988966307577,1132.8090908599977,1058.1144494686953,1109.8545345417522
1138.0361678519048,1573.211728339159,1395.1445273510112,1387.3109689040539,1095.6513066786363,1256.3316965775741,1100.7898086238924,1132.8090908599977,1058.1144494686953,1109.8545345417522
1138.0361678519048,1573.211728339159,1331.2078214748274,1387.3109689040539,1095.6513066786363,1228.0674723448792,1071.2151246414812,1132.8090908599977,1058.1144494686953,1071.1154664758196
1138.0361678519048,1573.211728339159,1331.2078214748274,1387.3109689040539,1095.6513066786363,1228.0674723448792,1071.2151246414812,1132.8090908599977,1058.1144494686953,1071.1154664758196
1138.0361678519048,1573.211728339159,1309.3396261875073,1387.3109689040539,1095.6513066786363,1228.0674723448792,1071.2151246414812,1132.8090908599977,1058.1144494686953,1071.1154664758196
1118.2778907166041,1573.211728339159,1309.3396261875073,1387.3109689040539,1095.6513066786363,1171.9731102579203,1070.4489111023415,1132.8090908599977,1058.1144494686953,1071.1154664758196
1118.2778907166041,1573.211728339159,1255.0893368553782,1387.3109689040539,1095.6513066786363,1171.9731102579203,1070.4489111023415,1112.9785149216268,1058.1144494686953,1070.5949750326095
1118.2778907166041,1573.211728339159,1255.0893368553782,1387.3109689040539,1095.6513066786363,1171.9731102579203,1070.4489111023415,1112.9785149216268,1058.1144494686953,1063.9966840623365
1098.4828526166,1573.211728339159,1136.9023523143017,1209.790833411923,1095.6513066786363,1171.9731102579203,1070.4489111023415,1111.9827435816628,1052.7833508892977,1063.9966840623365
1098.4828526166,1573.211728339159,1136.9023523143017,1209.790833411923,1086.7612829488605,1171.9731102579203,1070.4489111023415,1071.1476265021838,1052.7833508892977,1063.9966840623365
1075.5372120646878,1573.211728339159,1136.9023523143017,1209.790833411923,1086.7612829488605,1171.9731102579203,1070.4489111023415,1071.1476265021838,1052.7833508892977,1063.9966840623365
